title,author,publisher,image_url,isbn,category
타로카드의 해석: 핍 카드 1~4 세트 - 전4권,임상훈,서로빛나는숲,https://image.aladin.co.kr/product/30883/63/cover500/899886617x_2.jpg,9788998866174,"['건강/취미', '종교/역학']"
방주,유키 하루오,블루홀식스(블루홀6),https://image.aladin.co.kr/product/31062/41/cover500/k672831528_1.jpg,9791189571894,['소설/시/희곡']
물고기는 존재하지 않는다,룰루 밀러,곰출판,https://image.aladin.co.kr/product/28465/73/cover500/k092835920_2.jpg,9791189327156,"['과학', '에세이', '추천도서']"
아몬드 (반양장),손원평,창비,https://image.aladin.co.kr/product/10636/66/cover500/8936456784_1.jpg,9788936456788,"['청소년', '추천도서']"
데미안 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,https://image.aladin.co.kr/product/9871/8/cover500/k042535550_2.jpg,9791187011590,"['고전', '소설/시/희곡', '추천도서']"
건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,조승우,바이북스,https://image.aladin.co.kr/product/30258/37/cover500/k592839606_3.jpg,9791158773120,['요리/살림']
히카루가 죽은 여름 1,모쿠모쿠렌,디앤씨미디어(주)(D&C미디어),https://image.aladin.co.kr/product/31198/44/cover500/k242831055_1.jpg,9791127867799,['만화']
잊혀진 계절 2,김도형,에이에스(도서출판),https://image.aladin.co.kr/product/28687/43/cover500/k012836369_1.jpg,9791197732713,['에세이']
"스즈메의 문단속 (양장, 스페셜 에디션)",신카이 마코토,하빌리스,https://image.aladin.co.kr/product/31239/61/cover500/k262832069_1.jpg,9791169797863,['소설/시/희곡']
2023 써니 행정법총론 실전동형 모의고사 (기출지문 암기 App과 문제풀이 학습 App 이용쿠폰 제공) - 전2권,박준철,지금(도서출판),https://image.aladin.co.kr/product/31250/91/cover500/k162832361_1.jpg,9791160183573,['수험서/자격증']
가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 4 (특별판),SUN SUN SUN,디앤씨미디어(주)(D&C미디어),https://image.aladin.co.kr/product/31294/19/cover500/k762832673_1.jpg,9791127867843,['소설/시/희곡']
작가는 어떻게 읽는가,조지 손더스,어크로스,https://image.aladin.co.kr/product/28582/75/cover500/k482831619_1.jpg,9791167740892,"['소설/시/희곡', '인문학']"
2023 이유진 국어 필사즉생 모의고사 백일기도 3 : 독해강화,이유진,고시동네,https://image.aladin.co.kr/product/31215/58/cover500/k432831159_1.jpg,9791168181311,['수험서/자격증']
세계 방방곡곡 여행 일기,마스다 미리,북포레스트,https://image.aladin.co.kr/product/31281/58/cover500/k432832473_1.jpg,9791192025124,"['에세이', '여행']"
흔한남매 이상한 나라의 고전 읽기 3,"최재훈 (글), 정주연 (그림), 흔한남매, 흔한컴퍼니 (감수)",미래엔아이세움,https://image.aladin.co.kr/product/31222/3/cover500/k112831250_1.jpg,9791168415034,['어린이']
지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북,https://image.aladin.co.kr/product/22872/79/cover500/k992636841_2.jpg,9791190313186,['인문학']
구의 증명,최진영,은행나무,https://image.aladin.co.kr/product/5527/50/cover500/8956608555_1.jpg,9788956608556,"['소설/시/희곡', '추천도서']"
스즈메의 문단속 (양장),신카이 마코토,하빌리스,https://image.aladin.co.kr/product/31239/61/cover500/k112832069_1.jpg,9791169792035,['소설/시/희곡']
2023 선재국어 실전 봉투 모의고사 1,이선재,에스티유니타스,https://image.aladin.co.kr/product/31134/86/cover500/k522831946_1.jpg,9791169660129,['수험서/자격증']
회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희),메가스터디북스,https://image.aladin.co.kr/product/30154/39/cover500/k212839588_1.jpg,9791129708328,"['자기계발', '컴퓨터/모바일']"
2023 수제비 정보처리기사 실기 1권+2권 합본세트 - 전2권,NCS 정보처리기술사 연구회,건기원,https://image.aladin.co.kr/product/31001/63/cover500/k352831219_2.jpg,9791157677238,['컴퓨터/모바일']
남편을 내 편으로 만드는 방법 1 (한정판),시루,캐롯툰,https://image.aladin.co.kr/product/31268/55/cover500/k992832465_1.jpg,9791140452408,['만화']
한국형 가치투자,"최준철, 김민국",이콘,https://image.aladin.co.kr/product/31266/43/cover500/k492832468_2.jpg,9791189318413,['경제경영']
이토록 평범한 미래,김연수,문학동네,https://image.aladin.co.kr/product/30211/80/cover500/8954680003_1.jpg,9788954680004,['소설/시/희곡']
해커스 토익 RC 리딩 READING 토익 기본서 2023 최신개정판,David Cho,해커스어학연구소(Hackers),https://image.aladin.co.kr/product/30640/30/cover500/8965424763_1.jpg,9788965424765,['외국어']
설민석의 삼국지 대모험 11,단꿈아이,단꿈아이,https://image.aladin.co.kr/product/31246/72/cover500/k382832167_1.jpg,9791191496666,['어린이']
2023 산업안전기사 실기[필답형+작업형] + 무료동영상,최윤정,구민사,https://image.aladin.co.kr/product/31050/19/cover500/k512831323_1.jpg,9791168751897,['수험서/자격증']
주식 시세의 비밀,정재호,프런트페이지,https://image.aladin.co.kr/product/31060/25/cover500/k162831528_1.jpg,9791197871269,['경제경영']
브라질에 비가 내리면 스타벅스 주식을 사라,피터 나바로,에프엔미디어,https://image.aladin.co.kr/product/29298/59/cover500/k342837406_1.jpg,9791188754588,['경제경영']
세상 끝의 카페,존 스트레레키,클레이하우스,https://image.aladin.co.kr/product/31186/54/cover500/k172831854_1.jpg,9791198173812,['자기계발']
2023 이동기 영어 국가직 대비 적중모의고사,이동기,에스티유니타스,https://image.aladin.co.kr/product/31149/66/cover500/k202831045_1.jpg,9791165769796,['수험서/자격증']
효기심의 권력으로 읽는 세계사 : 유럽 편,효기심,다산초당(다산북스),https://image.aladin.co.kr/product/31190/69/cover500/k032831950_1.jpg,9791130642147,['역사']
긴긴밤,루리,문학동네,https://image.aladin.co.kr/product/26302/71/cover500/8954677150_1.jpg,9788954677158,"['어린이', '추천도서']"
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,https://image.aladin.co.kr/product/27407/79/cover500/k362732558_2.jpg,9791191043297,['소설/시/희곡']
"돈의 속성 (200쇄 리커버 에디션, 양장)",김승호,스노우폭스북스,https://image.aladin.co.kr/product/28884/59/cover500/k962836509_3.jpg,9791188331796,['경제경영']
이기적 유전자,리처드 도킨스,을유문화사,https://image.aladin.co.kr/product/17048/25/cover500/8932473900_1.jpg,9788932473901,"['과학', '대학교재/전문서적']"
조국의 법고전 산책,조국,오마이북,https://image.aladin.co.kr/product/30455/59/cover500/8997780514_2.jpg,9788997780518,['인문학']
2023 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1.2.3급),최태성,이투스북,https://image.aladin.co.kr/product/30884/42/cover500/k972831381_1.jpg,9791138911832,['수험서/자격증']
미스터 프레지던트,탁현민,메디치미디어,https://image.aladin.co.kr/product/30843/97/cover500/k142831470_2.jpg,9791157062805,['사회과학']
